order_id,customer_id,amount,currency,created_at,status
98,10,221.87,JPY,2026-03-18T07:47:09+00:00,cancelled
99,28,350.63,GBP,2026-04-13T16:35:05+00:00,completed
100,153,65.11,EUR,2026-01-25T17:28:49+00:00,shipped
101,112,486.71,JPY,2026-02-13T05:48:41+00:00,pending
102,89,306.39,USD,2026-01-01T16:11:12+00:00,shipped
103,187,123.45,GBP,2026-01-05T09:57:15+00:00,completed
104,81,83.4,EUR,2026-02-27T22:28:20+00:00,pending
105,112,277.67,USD,2026-03-31T21:45:16+00:00,cancelled
106,156,278.36,GBP,2026-04-16T17:17:57+00:00,completed
107,131,51.14,USD,2026-03-24T08:34:47+00:00,shipped
108,30,496.17,GBP,2026-04-14T06:59:25+00:00,cancelled
109,99,456.9,EUR,2026-03-15T15:33:23+00:00,cancelled
110,148,233.42,EUR,2026-02-14T14:18:43+00:00,completed
111,49,63.15,USD,2026-02-18T01:29:22+00:00,shipped
112,66,416.91,GBP,2026-03-31T10:40:09+00:00,completed
113,12,251.7,JPY,2026-03-09T05:13:16+00:00,pending
114,182,359.72,EUR,2026-01-31T02:55:04+00:00,pending
115,112,256.89,JPY,2026-02-23T12:37:15+00:00,cancelled
116,1,140.35,JPY,2026-02-06T14:22:57+00:00,shipped
117,134,418.19,USD,2026-01-22T21:53:38+00:00,pending
118,138,490.22,USD,2026-01-07T06:08:36+00:00,pending
119,176,125.65,USD,2026-03-23T09:48:10+00:00,pending
120,185,277.88,GBP,2026-04-30T09:44:59+00:00,pending
121,190,194.88,EUR,2026-01-04T00:54:52+00:00,completed
122,189,461.32,EUR,2026-02-16T17:35:10+00:00,cancelled
123,172,256.58,JPY,2026-02-10T00:24:35+00:00,cancelled
124,51,440.27,USD,2026-01-14T01:35:54+00:00,pending
125,94,432.69,GBP,2026-01-20T14:12:45+00:00,cancelled
126,111,141.74,EUR,2026-04-26T07:58:49+00:00,cancelled
127,18,396.05,GBP,2026-01-07T12:28:36+00:00,cancelled
128,171,210.4,USD,2026-03-28T16:33:58+00:00,cancelled
129,85,467.45,USD,2026-04-27T01:52:46+00:00,completed
130,160,256.33,EUR,2026-01-10T10:50:53+00:00,pending
131,81,411.17,JPY,2026-02-17T12:32:37+00:00,shipped
132,170,145.01,JPY,2026-01-09T14:09:29+00:00,completed
133,32,152.79,USD,2026-03-20T02:41:32+00:00,cancelled
134,185,295.53,USD,2026-03-27T05:42:53+00:00,pending
135,77,499.46,JPY,2026-02-15T12:06:00+00:00,pending
136,130,247.37,USD,2026-04-15T19:27:46+00:00,pending
137,80,78.55,EUR,2026-02-12T04:32:52+00:00,pending
138,171,271.6,EUR,2026-01-11T23:02:53+00:00,cancelled
139,105,175.84,GBP,2026-01-28T05:04:44+00:00,pending
140,84,278.2,JPY,2026-04-08T20:19:29+00:00,shipped
141,104,274.0,USD,2026-02-26T04:03:55+00:00,shipped
142,179,230.4,GBP,2026-02-15T11:16:18+00:00,pending
143,76,164.28,EUR,2026-04-22T20:52:07+00:00,cancelled
144,142,98.38,JPY,2026-03-03T22:11:56+00:00,shipped
145,33,350.26,EUR,2026-04-23T03:13:39+00:00,shipped
146,50,288.04,USD,2026-04-27T02:29:53+00:00,shipped
147,108,120.61,GBP,2026-03-04T06:24:27+00:00,completed
148,171,388.89,USD,2026-02-16T00:03:10+00:00,completed
149,98,26.61,USD,2026-02-28T14:19:27+00:00,shipped
150,174,373.63,JPY,2026-01-28T19:38:31+00:00,cancelled
151,192,354.09,JPY,2026-04-12T05:12:21+00:00,cancelled
152,45,406.65,USD,2026-02-12T22:08:01+00:00,shipped
153,158,196.11,JPY,2026-03-22T07:19:48+00:00,shipped
154,146,333.53,GBP,2026-02-28T08:26:09+00:00,cancelled
155,78,411.27,GBP,2026-02-23T10:18:36+00:00,completed
156,104,490.5,USD,2026-01-12T20:04:59+00:00,completed
157,141,250.19,GBP,2026-04-19T02:29:40+00:00,shipped
158,1,23.32,USD,2026-04-25T21:22:07+00:00,cancelled
159,78,253.63,GBP,2026-02-04T00:10:47+00:00,completed
160,74,297.14,EUR,2026-03-24T22:53:56+00:00,shipped
161,54,435.5,USD,2026-04-18T22:27:06+00:00,pending
162,111,437.72,GBP,2026-04-07T05:45:37+00:00,shipped
163,149,222.95,EUR,2026-01-10T02:29:44+00:00,pending
164,156,265.35,USD,2026-03-08T21:05:21+00:00,shipped
165,168,231.18,GBP,2026-03-16T00:18:33+00:00,cancelled
166,83,362.61,GBP,2026-04-12T20:10:30+00:00,cancelled
167,120,207.94,EUR,2026-03-03T21:24:36+00:00,cancelled
168,114,329.12,JPY,2026-03-22T20:12:48+00:00,cancelled
169,114,81.41,JPY,2026-03-21T06:37:32+00:00,pending
170,173,237.4,EUR,2026-01-29T23:24:16+00:00,shipped
171,55,484.76,EUR,2026-02-28T05:34:54+00:00,cancelled
172,131,172.59,USD,2026-03-15T02:25:53+00:00,completed
173,122,347.89,JPY,2026-02-05T16:56:17+00:00,completed
174,189,326.67,USD,2026-04-15T10:55:38+00:00,completed
175,44,426.62,GBP,2026-04-02T22:45:27+00:00,shipped
176,169,426.91,EUR,2026-02-16T18:59:35+00:00,completed
177,22,430.37,USD,2026-02-13T18:10:54+00:00,completed
178,73,193.1,EUR,2026-02-28T09:31:59+00:00,pending
179,132,161.75,USD,2026-01-29T00:43:40+00:00,shipped
180,170,360.77,GBP,2026-03-31T21:51:13+00:00,shipped
181,163,380.9,GBP,2026-01-12T04:32:49+00:00,completed
182,159,436.83,JPY,2026-04-20T04:54:30+00:00,shipped
183,86,22.77,JPY,2026-03-22T03:12:59+00:00,pending
184,24,38.87,GBP,2026-03-22T21:04:02+00:00,pending
185,193,317.42,USD,2026-04-19T05:08:40+00:00,cancelled
186,61,460.86,EUR,2026-04-13T21:56:27+00:00,pending
187,173,498.73,GBP,2026-01-27T00:55:03+00:00,cancelled
188,80,374.65,GBP,2026-03-17T10:09:50+00:00,completed
189,58,219.82,USD,2026-02-17T03:48:09+00:00,cancelled
190,51,53.73,GBP,2026-02-19T12:21:57+00:00,cancelled
191,38,318.71,GBP,2026-02-09T11:37:04+00:00,completed
192,7,436.93,USD,2026-03-06T03:08:13+00:00,cancelled
193,12,224.62,GBP,2026-01-16T08:29:41+00:00,pending
194,63,348.53,JPY,2026-03-29T08:09:30+00:00,completed
195,122,452.19,JPY,2026-03-14T01:20:47+00:00,shipped
196,157,27.77,JPY,2026-01-18T22:54:48+00:00,cancelled
197,197,399.09,JPY,2026-04-15T00:14:33+00:00,pending
198,19,150.22,GBP,2026-02-06T23:42:31+00:00,shipped
199,117,190.55,EUR,2026-01-11T00:10:41+00:00,completed
200,107,77.06,JPY,2026-02-22T03:07:18+00:00,completed
201,162,267.93,JPY,2026-03-15T05:43:48+00:00,completed
202,148,285.13,GBP,2026-04-28T11:21:43+00:00,pending
203,50,397.3,GBP,2026-04-28T01:49:13+00:00,shipped
204,184,89.14,USD,2026-01-08T16:18:17+00:00,completed
205,179,44.09,JPY,2026-01-15T03:11:58+00:00,pending
206,99,436.07,USD,2026-02-06T12:54:16+00:00,pending
207,127,311.76,JPY,2026-04-25T02:20:18+00:00,shipped
208,103,124.21,EUR,2026-04-19T12:25:55+00:00,completed
209,63,456.85,GBP,2026-02-12T03:22:13+00:00,completed
210,38,75.84,GBP,2026-04-04T02:08:20+00:00,cancelled
211,168,233.27,USD,2026-02-10T13:29:37+00:00,completed
212,177,130.72,USD,2026-03-06T15:43:34+00:00,shipped
213,2,131.39,GBP,2026-02-28T20:57:30+00:00,pending
214,193,9.65,GBP,2026-01-03T23:27:36+00:00,shipped
215,198,403.29,GBP,2026-02-11T03:05:44+00:00,completed
216,28,451.1,JPY,2026-02-06T21:34:28+00:00,pending
217,200,340.42,JPY,2026-01-23T18:43:59+00:00,shipped
218,109,83.2,EUR,2026-04-03T23:55:58+00:00,completed
219,57,223.66,JPY,2026-02-17T02:33:58+00:00,completed
220,46,176.05,GBP,2026-04-28T08:42:55+00:00,completed
221,179,295.85,JPY,2026-02-09T17:06:01+00:00,cancelled
222,133,321.27,USD,2026-03-19T00:26:21+00:00,cancelled
223,119,215.03,GBP,2026-02-16T11:21:47+00:00,cancelled
224,13,128.8,JPY,2026-04-18T04:52:33+00:00,pending
225,143,423.43,GBP,2026-03-04T10:50:04+00:00,shipped
226,64,103.61,USD,2026-02-24T23:09:05+00:00,pending
227,32,195.42,USD,2026-03-15T22:00:44+00:00,pending
228,117,244.19,JPY,2026-04-01T12:53:04+00:00,completed
229,35,122.42,GBP,2026-04-14T14:59:23+00:00,completed
230,119,288.1,EUR,2026-03-11T18:16:15+00:00,pending
231,171,289.53,USD,2026-03-01T21:21:07+00:00,shipped
232,136,496.38,EUR,2026-02-20T18:57:55+00:00,cancelled
233,144,151.14,JPY,2026-03-11T20:03:55+00:00,pending
234,153,489.08,USD,2026-04-10T13:53:53+00:00,pending
235,82,330.82,EUR,2026-04-07T13:28:48+00:00,shipped
236,194,140.87,USD,2026-04-01T11:44:10+00:00,shipped
237,114,285.13,EUR,2026-01-20T03:32:51+00:00,pending
238,157,344.47,GBP,2026-04-02T03:59:02+00:00,completed
239,185,373.61,GBP,2026-03-04T04:23:42+00:00,completed
240,130,29.28,JPY,2026-02-09T10:38:33+00:00,pending
241,110,305.17,USD,2026-03-13T23:36:36+00:00,completed
242,141,250.88,EUR,2026-03-02T18:19:20+00:00,shipped
243,115,452.56,JPY,2026-03-22T09:03:15+00:00,cancelled
244,41,146.67,GBP,2026-01-09T21:02:57+00:00,shipped
245,191,400.44,GBP,2026-04-20T05:33:18+00:00,cancelled
246,122,305.5,JPY,2026-02-12T23:12:43+00:00,pending
247,116,179.4,USD,2026-01-29T08:02:56+00:00,pending
248,67,320.13,EUR,2026-01-04T03:35:24+00:00,cancelled
249,193,312.34,GBP,2026-02-20T15:17:43+00:00,completed
250,64,340.49,JPY,2026-04-18T10:37:07+00:00,pending
251,164,361.86,GBP,2026-04-24T09:47:09+00:00,cancelled
252,71,331.29,GBP,2026-04-23T11:00:05+00:00,completed
253,197,419.98,EUR,2026-03-23T02:03:17+00:00,cancelled
254,200,315.98,USD,2026-02-27T07:41:44+00:00,pending
255,134,452.18,USD,2026-01-30T14:17:19+00:00,pending
256,125,324.94,EUR,2026-02-08T02:19:11+00:00,shipped
257,161,157.92,JPY,2026-03-06T01:17:01+00:00,cancelled
258,62,223.21,JPY,2026-02-14T15:57:52+00:00,completed
259,71,291.89,USD,2026-03-15T18:10:53+00:00,pending
260,113,367.52,GBP,2026-04-21T15:24:41+00:00,shipped
261,20,49.62,GBP,2026-02-17T17:11:05+00:00,shipped
262,183,151.08,JPY,2026-04-07T22:54:48+00:00,completed
263,74,375.0,EUR,2026-04-17T22:10:48+00:00,pending
264,61,91.94,GBP,2026-03-07T13:09:48+00:00,shipped
265,70,70.42,JPY,2026-02-19T23:13:46+00:00,completed
266,86,272.01,EUR,2026-04-05T21:08:21+00:00,completed
267,82,485.89,USD,2026-04-06T06:20:28+00:00,cancelled
268,139,267.77,EUR,2026-03-31T11:37:07+00:00,cancelled
269,21,457.18,USD,2026-02-02T16:01:32+00:00,pending
270,36,416.08,JPY,2026-03-10T09:15:35+00:00,shipped
271,39,132.2,EUR,2026-02-02T20:50:07+00:00,shipped
272,60,413.22,JPY,2026-01-28T04:15:14+00:00,cancelled
273,99,243.51,USD,2026-04-17T03:05:25+00:00,pending
274,178,404.21,GBP,2026-04-05T19:43:08+00:00,shipped
275,40,374.55,GBP,2026-02-05T17:43:29+00:00,completed
276,181,172.66,USD,2026-04-16T06:32:27+00:00,completed
277,55,62.01,GBP,2026-01-12T09:42:40+00:00,completed
278,17,481.63,GBP,2026-04-12T17:45:28+00:00,completed
279,107,74.67,EUR,2026-01-07T13:37:48+00:00,cancelled
280,105,483.42,EUR,2026-01-15T10:24:17+00:00,pending
281,85,430.77,GBP,2026-01-10T10:05:36+00:00,completed
282,139,363.49,EUR,2026-01-02T05:45:02+00:00,completed
283,120,490.07,USD,2026-03-22T01:53:13+00:00,shipped
284,107,483.8,EUR,2026-01-27T16:45:25+00:00,cancelled
285,16,403.27,EUR,2026-02-14T22:33:28+00:00,shipped
286,53,186.06,EUR,2026-01-14T04:45:12+00:00,shipped
287,108,396.39,JPY,2026-01-30T07:50:57+00:00,shipped
288,100,11.89,USD,2026-01-02T18:36:08+00:00,completed
289,198,270.6,GBP,2026-02-12T11:18:27+00:00,pending
290,150,230.12,GBP,2026-04-09T04:53:10+00:00,cancelled
291,179,338.05,JPY,2026-03-30T13:09:32+00:00,completed
292,6,337.81,EUR,2026-03-14T11:14:28+00:00,cancelled
293,196,294.36,USD,2026-01-12T17:43:04+00:00,completed
294,148,412.1,USD,2026-04-30T23:19:15+00:00,pending
295,98,470.44,GBP,2026-04-30T17:11:18+00:00,pending
296,123,58.63,JPY,2026-04-04T19:53:40+00:00,cancelled
297,2,120.74,JPY,2026-04-05T17:33:58+00:00,shipped
298,91,17.39,JPY,2026-01-04T01:18:55+00:00,completed
299,77,442.7,JPY,2026-01-02T06:48:56+00:00,cancelled
300,193,282.9,USD,2026-04-14T08:17:23+00:00,shipped
301,100,458.05,EUR,2026-04-18T02:50:43+00:00,pending
302,108,114.58,GBP,2026-03-21T20:58:35+00:00,completed
303,138,36.29,USD,2026-01-03T07:13:46+00:00,pending
304,192,412.81,JPY,2026-01-04T05:56:58+00:00,completed
305,189,455.15,JPY,2026-04-13T19:15:54+00:00,shipped
306,140,154.58,GBP,2026-02-23T08:23:04+00:00,completed
307,155,207.11,EUR,2026-04-15T00:43:13+00:00,shipped
308,57,74.19,EUR,2026-02-25T16:03:55+00:00,completed
309,125,473.4,EUR,2026-01-04T07:53:25+00:00,cancelled
310,57,155.66,JPY,2026-04-08T12:29:46+00:00,pending
311,70,248.85,USD,2026-03-25T14:36:59+00:00,completed
312,112,53.11,USD,2026-02-04T19:26:38+00:00,completed
313,125,444.19,EUR,2026-01-21T18:43:57+00:00,pending
314,8,72.15,GBP,2026-01-19T16:51:18+00:00,completed
315,100,229.55,EUR,2026-04-12T19:48:47+00:00,pending
316,87,336.89,EUR,2026-01-29T21:54:45+00:00,shipped
317,172,372.85,GBP,2026-02-16T18:59:46+00:00,cancelled
318,174,473.26,EUR,2026-02-07T06:28:05+00:00,cancelled
319,104,212.47,GBP,2026-04-13T05:27:45+00:00,pending
320,186,372.42,GBP,2026-02-19T00:21:14+00:00,cancelled
321,43,81.49,USD,2026-03-10T19:48:54+00:00,pending
322,120,210.37,GBP,2026-02-21T21:49:24+00:00,cancelled
323,33,54.02,EUR,2026-03-19T01:40:17+00:00,completed
324,160,247.23,GBP,2026-01-16T08:15:22+00:00,completed
325,137,207.02,EUR,2026-03-14T10:32:46+00:00,cancelled
326,7,476.0,GBP,2026-03-20T20:13:29+00:00,shipped
327,101,21.19,USD,2026-03-31T03:05:04+00:00,cancelled
328,152,188.41,EUR,2026-04-20T17:06:03+00:00,completed
329,145,224.47,EUR,2026-02-17T05:25:51+00:00,cancelled
330,170,475.52,EUR,2026-02-13T20:34:15+00:00,completed
331,7,428.45,GBP,2026-02-28T05:58:59+00:00,shipped
332,22,54.18,USD,2026-01-16T15:42:07+00:00,shipped
333,165,344.41,USD,2026-01-07T03:39:37+00:00,cancelled
334,110,274.51,USD,2026-01-19T03:44:38+00:00,completed
335,35,489.03,USD,2026-03-20T16:44:01+00:00,shipped
336,119,182.54,GBP,2026-03-15T15:29:54+00:00,pending
337,47,202.08,EUR,2026-03-15T05:44:15+00:00,cancelled
338,13,98.96,JPY,2026-04-18T07:46:31+00:00,pending
339,67,65.47,USD,2026-04-03T10:20:40+00:00,cancelled
340,98,424.78,JPY,2026-01-11T21:30:52+00:00,completed
341,84,230.09,GBP,2026-01-02T20:02:27+00:00,completed
342,55,333.07,GBP,2026-02-03T06:42:19+00:00,pending
343,117,322.64,JPY,2026-01-17T01:20:42+00:00,completed
344,84,300.59,EUR,2026-04-08T01:30:32+00:00,completed
345,87,15.57,JPY,2026-03-26T06:09:55+00:00,completed
346,195,394.46,GBP,2026-03-06T07:49:58+00:00,pending
347,98,125.57,JPY,2026-04-20T21:04:58+00:00,completed
348,72,67.33,USD,2026-01-19T12:25:06+00:00,shipped
349,193,284.47,USD,2026-04-13T13:24:00+00:00,cancelled
350,108,38.96,EUR,2026-01-09T06:18:20+00:00,shipped
351,65,383.75,JPY,2026-02-14T14:47:22+00:00,pending
352,21,107.54,JPY,2026-02-11T01:16:29+00:00,pending
353,121,111.9,JPY,2026-04-21T01:24:20+00:00,completed
354,5,435.5,JPY,2026-04-03T07:59:31+00:00,shipped
355,192,167.64,EUR,2026-02-22T15:23:40+00:00,pending
356,139,78.04,GBP,2026-01-10T00:59:40+00:00,cancelled
357,14,450.76,EUR,2026-01-15T10:29:13+00:00,pending
358,90,6.4,GBP,2026-02-24T10:37:58+00:00,shipped
359,58,429.91,GBP,2026-04-16T10:42:23+00:00,cancelled
360,167,76.62,GBP,2026-04-20T10:08:46+00:00,cancelled
361,18,69.35,JPY,2026-01-07T09:20:00+00:00,completed
362,200,129.07,EUR,2026-02-04T19:51:09+00:00,cancelled
363,167,91.38,GBP,2026-03-03T01:36:17+00:00,completed
364,11,332.22,USD,2026-01-04T00:58:19+00:00,completed
365,194,17.76,GBP,2026-02-10T05:25:36+00:00,pending
366,8,12.36,EUR,2026-04-24T23:47:11+00:00,pending
367,64,396.04,JPY,2026-01-28T23:58:52+00:00,completed
368,52,122.78,USD,2026-03-19T08:11:38+00:00,shipped
369,6,165.27,GBP,2026-01-15T22:33:16+00:00,completed
370,160,91.25,JPY,2026-02-28T02:43:53+00:00,shipped
371,40,30.94,EUR,2026-02-01T13:04:22+00:00,cancelled
372,62,372.15,EUR,2026-04-20T12:14:08+00:00,cancelled
373,33,265.41,USD,2026-02-16T16:40:53+00:00,cancelled
374,122,374.1,USD,2026-04-21T00:59:39+00:00,completed
375,172,240.74,GBP,2026-03-17T13:36:04+00:00,shipped
376,30,390.12,JPY,2026-04-15T23:12:12+00:00,completed
377,145,259.05,JPY,2026-03-06T09:58:23+00:00,cancelled
378,56,58.98,EUR,2026-03-16T12:51:10+00:00,pending
379,120,254.4,EUR,2026-01-28T04:13:01+00:00,cancelled
380,180,472.98,GBP,2026-01-16T05:29:58+00:00,cancelled
381,66,26.47,GBP,2026-04-08T05:51:49+00:00,pending
382,197,392.7,EUR,2026-03-09T03:49:19+00:00,shipped
383,95,434.16,EUR,2026-01-11T10:14:36+00:00,cancelled
384,43,263.12,JPY,2026-01-19T23:14:55+00:00,shipped
385,156,231.73,JPY,2026-03-26T20:58:44+00:00,pending
386,156,482.19,JPY,2026-02-15T01:52:10+00:00,pending
387,192,35.11,GBP,2026-01-15T18:16:14+00:00,pending
388,184,242.1,JPY,2026-03-08T03:16:38+00:00,completed
389,30,203.8,USD,2026-04-28T12:17:26+00:00,shipped
390,200,344.62,USD,2026-04-30T04:49:09+00:00,completed
391,42,247.68,JPY,2026-04-26T15:44:15+00:00,pending
392,80,455.3,JPY,2026-03-19T00:46:12+00:00,cancelled
393,28,41.38,EUR,2026-03-05T09:01:31+00:00,completed
394,149,44.99,EUR,2026-01-06T18:03:56+00:00,cancelled
395,7,306.11,GBP,2026-02-23T01:47:46+00:00,completed
396,80,37.51,USD,2026-03-29T11:42:57+00:00,shipped
397,148,141.13,USD,2026-04-06T06:22:40+00:00,cancelled
398,174,318.37,GBP,2026-02-14T07:12:07+00:00,completed
399,97,276.44,JPY,2026-03-11T02:12:01+00:00,pending
400,102,165.97,JPY,2026-04-18T09:20:33+00:00,pending
401,184,497.34,GBP,2026-03-14T21:36:59+00:00,shipped
402,51,267.63,USD,2026-03-25T20:33:26+00:00,shipped
403,20,229.59,USD,2026-02-06T01:36:03+00:00,completed
404,152,304.69,JPY,2026-04-24T18:22:33+00:00,pending
405,177,54.09,EUR,2026-03-15T19:16:02+00:00,cancelled
406,161,352.38,GBP,2026-01-17T15:21:48+00:00,completed
407,63,427.13,GBP,2026-02-27T08:34:05+00:00,completed
408,27,327.2,JPY,2026-02-17T20:32:21+00:00,pending
409,179,385.64,GBP,2026-01-15T06:33:57+00:00,shipped
410,198,361.82,USD,2026-01-16T22:19:29+00:00,cancelled
411,78,111.44,JPY,2026-02-22T00:50:24+00:00,shipped
412,176,228.52,USD,2026-01-30T22:43:18+00:00,completed
413,154,118.1,EUR,2026-03-15T18:55:41+00:00,completed
414,31,172.77,GBP,2026-01-30T22:58:56+00:00,pending
415,145,229.48,GBP,2026-03-17T15:46:12+00:00,shipped
416,11,210.91,USD,2026-03-03T11:49:39+00:00,completed
417,89,52.07,JPY,2026-03-12T00:59:05+00:00,completed
418,137,216.25,JPY,2026-01-21T16:33:47+00:00,shipped
419,110,334.23,GBP,2026-01-18T18:30:58+00:00,pending
420,170,190.28,USD,2026-01-02T00:12:41+00:00,pending
421,95,80.56,EUR,2026-03-01T20:37:49+00:00,cancelled
422,18,461.88,USD,2026-03-28T08:37:09+00:00,cancelled
423,130,38.23,JPY,2026-03-11T21:20:13+00:00,cancelled
424,166,416.73,GBP,2026-02-22T09:12:09+00:00,shipped
425,88,51.15,GBP,2026-01-20T20:25:58+00:00,cancelled
426,4,52.8,GBP,2026-01-26T17:31:38+00:00,cancelled
427,108,370.7,EUR,2026-01-17T22:50:04+00:00,shipped
428,126,406.83,EUR,2026-02-06T09:18:32+00:00,cancelled
429,28,280.4,JPY,2026-03-25T16:30:36+00:00,pending
